canton_iso,wine_area_canton_ha,wine_volume_canton_hl,wine_revenue_canton_fr,wine_yield_canton_hl_per_ha,wine_revenue_share_canton
AG,2138.7,26276.0,1091617.0,12.3,0.03665243446641068
AI,0.0,0.0,0.0,0.0,0.0
AR,3.9,9.5,715.0,2.4,2.400703785621114e-05
BE,504.1,15437.0,646308.0,30.6,0.02170061625562533
BL,263.4,7276.0,359831.0,27.6,0.012081785229144491
BS,34.8,972.0,50544.0,27.9,0.0016970793306354348
FR,208.2,5761.0,227015.0,27.6,0.0076223184600388415
GE,1681.9,17796.5,842346.0,10.6,0.028282842391647592
GL,4.0,3.5,245.0,0.9,8.226187796883537e-06
GR,338.0,6580.0,360185.0,19.5,0.012093671231104068
LU,7.1,212.0,9215.0,29.9,0.0003094053899929869
NE,1126.2,38301.5,1618136.0,34.0,0.054330982109787505
NW,0.0,0.0,0.0,0.0,0.0
OW,0.0,0.0,0.0,0.0,0.0
SG,419.1,10634.0,725571.0,25.4,0.02436197267743912
SH,1020.5,38091.0,1571731.0,37.3,0.052772874988504324
SO,73.3,872.0,36440.0,11.9,0.0012235195237487188
SZ,29.1,664.9,36025.0,22.8,0.0012095853689090997
TG,977.4,16610.3,673168.0,17.0,0.02260247504837754
TI,5180.0,78513.0,1835160.0,15.2,0.06161783998909711
UR,0.0,0.0,0.0,0.0,0.0
VD,6352.9,174734.0,9563030.0,27.5,0.3210909415805354
VS,2800.5,134872.0,5816951.0,48.2,0.19531155645416118
ZG,0.0,0.0,0.0,0.0,0.0
ZH,4051.7,108087.7,4318700.0,26.7,0.1450058662791875
