="Spec set 3 cascade: Wine revenue share of national (X3_share)"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="X3_share",="-0.196",="0.568**",="0.415",="0.547*",="0.459"
="",="(0.219)",="(0.251)",="(0.271)",="(0.277)",="(0.349)"
="cov1",="",="-0.307***",="-0.218**",="-0.248**",="-0.242**"
="",="",="(0.079)",="(0.100)",="(0.102)",="(0.103)"
="cov2_total_share",="",="",="-0.294",="-0.197",="-0.179"
="",="",="",="(0.336)",="(0.258)",="(0.341)"
="cov3",="",="",="",="-0.069",="-0.040"
="",="",="",="",="(0.050)",="(0.070)"
="cov_land",="",="",="",="",="2.145"
="",="",="",="",="",="(2.944)"
="ln_pop_1900",="",="",="",="",="-1.822"
="",="",="",="",="",="(3.030)"
="_cons",="65.129***",="67.508***",="67.714***",="70.317***",="75.509***"
="",="(2.575)",="(2.096)",="(2.132)",="(2.676)",="(25.121)"
="N",="25",="25",="25",="25",="25"
="R-squared",="0.016",="0.510",="0.560",="0.595",="0.624"
="RMSE",="11.831",="8.535",="8.276",="8.137",="8.269"
