="Petition cascade 1: Per-capita vineyard area (X1)"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="X1",="-0.066",="-0.166",="-0.144",="-0.194",="-0.179"
="",="(0.384)",="(0.460)",="(0.486)",="(0.295)",="(0.315)"
="cov1",="",="0.078",="0.050",="0.072",="0.080"
="",="",="(0.089)",="(0.129)",="(0.111)",="(0.152)"
="cov2_total_share",="",="",="0.110",="-0.057",="-0.077"
="",="",="",="(0.430)",="(0.635)",="(1.102)"
="cov3",="",="",="",="0.162**",="0.163**"
="",="",="",="",="(0.061)",="(0.065)"
="cov_land",="",="",="",="",="-0.566"
="",="",="",="",="",="(2.241)"
="ln_pop_1900",="",="",="",="",=""
="",="",="",="",="",=""
="_cons",="20.905***",="20.209***",="20.124***",="13.765***",="17.377"
="",="(2.493)",="(2.333)",="(2.382)",="(2.626)",="(14.423)"
="N",="25",="25",="25",="25",="25"
="R-squared",="0.005",="0.065",="0.077",="0.396",="0.401"
="RMSE",="9.718",="9.630",="9.796",="8.116",="8.295"
