="Petition horse race: 4 wine variants at cascade col 5"
="",="(1)",="(2)",="(3)",="(4)"
="",="(1) per-cap",="(2) vol share",="(3) rev share",="(4) area share"
="",="b/se",="b/se",="b/se",="b/se"
="X1",="-0.179",="",="",=""
="",="(0.315)",="",="",=""
="X2_share",="",="-0.369",="",=""
="",="",="(0.392)",="",=""
="X3_share",="",="",="-0.283",=""
="",="",="",="(0.443)",=""
="X1_share",="",="",="",="-0.402"
="",="",="",="",="(0.302)"
="cov1",="0.080",="0.127",="0.126",="0.116"
="",="(0.152)",="(0.161)",="(0.174)",="(0.121)"
="cov2_total_share",="-0.077",="-0.137",="-0.138",="-0.123"
="",="(1.102)",="(0.975)",="(0.917)",="(0.788)"
="cov3",="0.163**",="0.221**",="0.226**",="0.214**"
="",="(0.065)",="(0.084)",="(0.088)",="(0.081)"
="cov_land",="-0.566",="1.144",="1.041",="0.947"
="",="(2.241)",="(2.767)",="(2.663)",="(2.435)"
="ln_pop_1900",="",="-3.346",="-3.552",="-2.875"
="",="",="(2.850)",="(2.835)",="(2.657)"
="_cons",="17.377",="40.919*",="43.439*",="37.478"
="",="(14.423)",="(22.821)",="(22.865)",="(22.773)"
="N",="25",="25",="25",="25"
="R-squared",="0.401",="0.475",="0.461",="0.481"
="RMSE",="8.295",="7.980",="8.081",="7.930"
