="Robustness battery R1-R6"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(R1) n_firms",="(R2) producer",="(R3) abs_log",="(R4) fr x prod",="(R5) drop-NE",="(R6) log-log"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="X2_share",="0.434",="0.529",="0.119",="0.376",="0.463",=""
="",="(0.402)",="(0.354)",="(2.920)",="(0.303)",="(0.656)",=""
="wine_vol_log",="",="",="",="",="",="-1.681"
="",="",="",="",="",="",="(11.540)"
="cov1",="-0.212*",="-0.334***",="-0.362",="-1.013**",="-0.263",="-0.397"
="",="(0.119)",="(0.104)",="(0.586)",="(0.405)",="(0.326)",="(1.193)"
="cov2_total_share",="",="",="",="-0.215",="0.161",=""
="",="",="",="",="(0.368)",="(1.830)",=""
="abs_nfirms",="-0.699",="",="",="",="",=""
="",="(1.005)",="",="",="",="",=""
="abs_producer",="",="4.665",="",="3.529",="",=""
="",="",="(7.298)",="",="(7.002)",="",=""
="abs_log",="",="",="-2.554",="",="",="-0.145"
="",="",="",="(27.803)",="",="",="(47.223)"
="fr_x_producer",="",="",="",="0.736*",="",=""
="",="",="",="",="(0.403)",="",=""
="cov3",="-0.035",="-0.028",="-0.061",="-0.015",="-0.028",="-0.159"
="",="(0.067)",="(0.078)",="(1.051)",="(0.072)",="(0.070)",="(1.872)"
="cov_land",="1.951",="3.224",="2.157",="3.554",="2.817",="3.890"
="",="(3.075)",="(3.011)",="(12.106)",="(2.948)",="(4.263)",="(22.964)"
="ln_pop_1900",="-1.872",="-2.503",="10.609",="-1.539",="-2.478",="21.749"
="",="(3.073)",="(3.057)",="(32.533)",="(2.948)",="(3.967)",="(98.751)"
="_cons",="77.075***",="74.572**",="-27.519",="62.739**",="77.639**",="-176.810"
="",="(26.178)",="(27.226)",="(572.786)",="(27.967)",="(27.481)",="(1641.660)"
="N",="25",="25",="8",="25",="24",="8"
="R-squared",="0.615",="0.609",="0.980",="0.675",="0.485",="0.991"
="RMSE",="8.361",="8.427",="4.799",="8.157",="8.511",="3.198"
