="T11 Panel A: Aggregate wine, drop Ticino"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog (density)"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="Wine revenue, national share (\%)",="-0.204",="0.565**",="0.414",="0.565*",="0.486"
="",="(0.209)",="(0.250)",="(0.271)",="(0.283)",="(0.316)"
="French language share (\%)",="",="-0.306***",="-0.217**",="-0.252**",="-0.243**"
="",="",="(0.080)",="(0.100)",="(0.103)",="(0.105)"
="Absinthe industry share (\%)",="",="",="-0.294",="-0.192",="-0.179"
="",="",="",="(0.335)",="(0.263)",="(0.294)"
="Protestant share (\%)",="",="",="",="-0.074",="-0.042"
="",="",="",="",="(0.053)",="(0.071)"
="Log population density",="",="",="",="",="-2.077"
="",="",="",="",="",="(2.705)"
="Constant",="64.973***",="67.474***",="67.691***",="70.614***",="78.906***"
="",="(2.644)",="(2.159)",="(2.200)",="(2.986)",="(11.097)"
="N",="24",="24",="24",="24",="24"
="R-squared",="0.017",="0.508",="0.558",="0.595",="0.623"
="RMSE",="12.057",="8.734",="8.480",="8.327",="8.255"
