="Vote cascade (Panel B: Wine volume share) — FL"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog (density)"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="Wine volume, national share (\%)",="-0.163",="0.567***",="0.422***",="0.511***",="0.428**"
="",="(0.212)",="(0.184)",="(0.159)",="(0.175)",="(0.205)"
="French language share (\%)",="",="",="",="",=""
="",="",="",="",="",=""
="Absinthe industry share (\%)",="",="",="",="",=""
="",="",="",="",="",=""
="Protestant share (\%)",="",="",="",="",=""
="",="",="",="",="",=""
="Log population density",="",="",="",="",=""
="",="",="",="",="",=""
="Constant",="",="",="",="",=""
="",="",="",="",="",=""
="N",="25",="25",="25",="25",="25"
