="Vote cascade (Panel B: Wine volume share) — OLS"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog (density)"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="Wine volume, national share (\%)",="-0.165",="0.592**",="0.439*",="0.530*",="0.454"
="",="(0.273)",="(0.235)",="(0.235)",="(0.259)",="(0.297)"
="French language share (\%)",="",="-0.298***",="-0.211**",="-0.230**",="-0.224**"
="",="",="(0.074)",="(0.086)",="(0.083)",="(0.088)"
="Absinthe industry share (\%)",="",="",="-0.301",="-0.225",="-0.207"
="",="",="",="(0.284)",="(0.206)",="(0.364)"
="Protestant share (\%)",="",="",="",="-0.060",="-0.028"
="",="",="",="",="(0.050)",="(0.066)"
="Log population density",="",="",="",="",="-2.161"
="",="",="",="",="",="(2.760)"
="Constant",="65.004***",="67.259***",="67.519***",="69.773***",="78.502***"
="",="(2.640)",="(2.171)",="(2.199)",="(2.766)",="(11.408)"
="N",="25",="25",="25",="25",="25"
="R-squared",="0.009",="0.507",="0.561",="0.588",="0.618"
="RMSE",="11.870",="8.560",="8.272",="8.207",="8.105"
