="Vote horse race at col 5 — OLS"
="",="(1)",="(2)",="(3)"
="",="(1) Per-cap",="(2) Volume share",="(3) Revenue share"
="",="b/se",="b/se",="b/se"
="Wine area per 1,000 pop. (ha)",="0.168",="",=""
="",="(0.261)",="",=""
="Wine volume, national share (\%)",="",="0.454",=""
="",="",="(0.297)",=""
="Wine revenue, national share (\%)",="",="",="0.469"
="",="",="",="(0.309)"
="French language share (\%)",="-0.181**",="-0.224**",="-0.239**"
="",="(0.070)",="(0.088)",="(0.104)"
="Absinthe industry share (\%)",="-0.272",="-0.207",="-0.185"
="",="(0.227)",="(0.364)",="(0.301)"
="Protestant share (\%)",="-0.009",="-0.028",="-0.037"
="",="(0.068)",="(0.066)",="(0.068)"
="Log population density",="-2.480",="-2.161",="-2.086"
="",="(2.731)",="(2.760)",="(2.709)"
="Constant",="79.297***",="78.502***",="78.670***"
="",="(11.229)",="(11.408)",="(11.070)"
="N",="25",="25",="25"
="R-squared",="0.594",="0.618",="0.623"
="RMSE",="8.362",="8.105",="8.054"
