="Petition cascade (Panel A: Wine revenue share) — Y=pet_per_eligible"
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="(1) baseline",="(2) +french",="(3) +absinthe",="(4) +protestant",="(5) +geog (density)"
="",="b/se",="b/se",="b/se",="b/se",="b/se"
="Wine revenue, national share (\%)",="0.110",="-0.051",="0.023",="-0.311",="-0.366"
="",="(0.436)",="(0.451)",="(0.509)",="(0.471)",="(0.456)"
="French language share (\%)",="",="0.065",="0.021",="0.098",="0.104"
="",="",="(0.075)",="(0.139)",="(0.161)",="(0.148)"
="Absinthe industry share (\%)",="",="",="0.142",="-0.102",="-0.092"
="",="",="",="(0.416)",="(0.722)",="(0.649)"
="Protestant share (\%)",="",="",="",="0.175**",="0.198**"
="",="",="",="",="(0.064)",="(0.079)"
="Log population density",="",="",="",="",="-1.494"
="",="",="",="",="",="(2.496)"
="Constant",="20.016***",="19.515***",="19.415***",="12.821***",="18.802*"
="",="(2.272)",="(2.393)",="(2.447)",="(2.607)",="(10.600)"
="N",="25",="25",="25",="25",="25"
="R-squared",="0.007",="0.040",="0.058",="0.394",="0.416"
="RMSE",="9.705",="9.758",="9.896",="8.132",="8.194"
